cnt,date
68550,20210101
56443,20210102
67439,20210103
87146,20210104
88343,20210105
85365,20210106
91358,20210107
88070,20210108
66934,20210109
61310,20210110
83379,20210111
79759,20210112
83764,20210113
80876,20210114
90952,20210115
65036,20210116
61213,20210117
82613,20210118
82707,20210119
83566,20210120
89826,20210121
86121,20210122
62451,20210123
68073,20210124
95561,20210125
86050,20210126
77256,20210127
94011,20210128
80876,20210129
68069,20210130
65594,20210131
92118,20210201
87845,20210202
82356,20210203
82804,20210204
81245,20210205
65034,20210206
71804,20210207
73445,20210208
66794,20210209
65640,20210210
56665,20210211
76925,20210212
54804,20210213
55175,20210214
58327,20210215
64152,20210216
55076,20210217
66206,20210218
72757,20210219
71360,20210220
73288,20210221
89267,20210222
81728,20210223
77943,20210224
79464,20210225
79092,20210226
64730,20210227
65054,20210228
90825,20210301
91374,20210302
82630,20210303
81782,20210304
83102,20210305
67881,20210306
62194,20210307
86428,20210308
83604,20210309
82379,20210310
80251,20210311
90698,20210312
69463,20210313
74877,20210314
87040,20210315
83590,20210316
83210,20210317
85645,20210318
88640,20210319
70630,20210320
60443,20210321
79837,20210322
81281,20210323
100287,20210324
98481,20210325
97028,20210326
76847,20210327
92091,20210329
93651,20210330
97072,20210331
99383,20210401
85361,20210402
70908,20210403
63601,20210404
63706,20210405
88979,20210406
87693,20210407
94172,20210408
97809,20210409
71120,20210410
64897,20210411
86689,20210412
90665,20210413
89604,20210414
98558,20210415
90725,20210416
75582,20210417
68652,20210418
91598,20210419
86778,20210420
86442,20210421
104353,20210423
82549,20210424
87992,20210425
92946,20210426
89953,20210427
90695,20210428
95089,20210429
79139,20210501
84745,20210502
69992,20210503
70186,20210504
69357,20210505
98671,20210506
87819,20210507
96400,20210508
72945,20210509
97295,20210510
92560,20210511
92401,20210512
95584,20210513
96323,20210514
86129,20210515
75149,20210516
97369,20210517
108167,20210518
97303,20210519
94088,20210520
90530,20210521
74301,20210522
69203,20210523
112353,20210524
110057,20210525
103152,20210526
96571,20210527
98179,20210528
81316,20210529
117071,20210602
106581,20210603
103757,20210604
85318,20210605
78250,20210606
104545,20210607
118896,20210608
103479,20210609
99053,20210610
99925,20210611
77921,20210612
76381,20210613
85145,20210614
106867,20210615
105142,20210616
101030,20210617
111931,20210618
84790,20210619
77668,20210620
101783,20210621
104330,20210622
125641,20210623
